<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:462 - [distribute_values] Col 'col_net', Row index 0: Lookahead index 1 is part of block (Original val empty/zero, Basis=35).
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:454 - [distribute_values] Col 'col_net', Row index 0: Lookahead stopped at index 2. Found non-empty/zero value 484.5 in original data.
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:469 - [distribute_values] Col 'col_net', Row index 0: Lookahead finished. Indices in distribution block (excluding start row 0): [1]
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:474 - [distribute_values] Col 'col_net', Row index 0: Identified distribution block indices: [0, 1]
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:489 - [distribute_values] Col 'col_net', Row index 0: Block Calculation - Total POSITIVE basis: 216. Indices with positive basis: [0, 1]
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:496 - [distribute_values] Col 'col_net', Row index 0: Distributing 797 across 2 rows with positive basis using precision 0.0001.
2025-12-02 12:48:12,376 - DEBUG - data_processor.py:517 - [distribute_values] Col 'col_net', Row index 0:   Index 0: Basis=181, Prop=0.837963, Dist Val=667.8565
2025-12-02 12:48:12,376 - DEBUG - data_processor.py:524 - [distribute_values] Col 'col_net', Row index 0:   Index 1: REMAINDER row, assigned=129.1435 (ensures exact sum)
2025-12-02 12:48:12,377 - DEBUG - data_processor.py:542 - [distribute_values] Col 'col_net', Row index 0: Distribution Check PASSED for block. Original: 797, Sum: 797.0000
2025-12-02 12:48:12,377 - DEBUG - data_processor.py:553 - [distribute_values] Col 'col_net', Row index 0: End of block processing. Moving main index i to 2
2025-12-02 12:48:12,377 - DEBUG - data_processor.py:443 - [distribute_values] Col 'col_net', Row index 2: Found distributable value: 484.5
2025-12-02 12:48:12,380 - DEBUG - data_processor.py:462 - [distribute_values] Col 'col_net', Row index 2: Lookahead index 3 is part of block (Original val empty/zero, Basis=4).
